Date,Type,Registration,Operator,Fatalities,Location,Latitude,Longitude
27-OCT-2010,PZL-Mielec M28-05PI Skytruck,P-4204,27-OCT-2010,5,near Wami,1.1235094,120.793398
31-OCT-2010,Airbus A310-304F,TC-JCV,31-OCT-2010,0,Casablanca-M...,33.5950627,-7.6187768
02-NOV-2010,Boeing 737-4Y0,PK-LIQ,02-NOV-2010,0,Pontianak-Su...,-0.0226903,109.3447488
04-NOV-2010,Airbus A380-842,VH-OQA,04-NOV-2010,0,near Batam Island,1.1061034,104.0378246
06-NOV-2010,Douglas DC-3C,HK-4700,06-NOV-2010,0,Guerima Airport,3.6290273,-70.3240514
07-NOV-2010,Canadair Challenger 604,N604JW,07-NOV-2010,0,Indianapolis...,39.779801,-86.1394092
09-NOV-2010,Shorts SC.7 Skyvan 3-100,8R-GGK,09-NOV-2010,0,Georgetown-C...,51.4251421,-0.0881139
13-NOV-2010,Swearingen SA227-AC Metro III,N781C,13-NOV-2010,0,Andahuaylas ...,-13.7776943,-73.4285412
15-NOV-2010,CASA C-212 Aviocar 400,VH-VHB,15-NOV-2010,0,Bunger Hills,-66.2664007,100.9348676
17-NOV-2010,Learjet 25B,N25PJ,17-NOV-2010,0,Portland-Hil...,41.4706801,48.3399592
18-NOV-2010,Lockheed C-130H Hercules,7O-ADD/1160,18-NOV-2010,0,Sana'a Inter...,15.2880718,44.2128825
19-NOV-2010,Cessna 501 Citation I/SP,G-VUEM,19-NOV-2010,0,Birmingham I...,52.4635515,-1.8869194
19-NOV-2010,Lockheed C-130H-30 Hercules,7T-WHA,19-NOV-2010,0,Paris-Le Bou...,48.8206096,2.3214393
24-NOV-2010,Antonov An-32B,FAM-3101,24-NOV-2010,5,Monterrey-Ge...,-33.3992916,-71.2174773
26-NOV-2010,Boeing 747-430,D-ABVM,26-NOV-2010,0,Frankfurt In...,42.8509272,-2.679841
03-DEC-2010,Beech 1900C-1,C9-AUO,03-DEC-2010,0,near Maputo Inter...,-25.9364231,32.5517857
08-DEC-2010,BN-2T Islander,CN-TWO,08-DEC-2010,5,near Demnate,31.732224,-7.002676
14-DEC-2010,Antonov An-24RV,RA-47305,14-DEC-2010,0,Rogachevo Ai...,42.1566092,21.1564907
18-DEC-2010,Swearingen SA226-TC Metro II,C-GQAJ,18-DEC-2010,0,Sanikiluaq A...,56.5421614,-79.2259227
20-DEC-2010,Antonov An-2P,RA-07331,20-DEC-2010,0,Uktus Airport,56.7000946,60.7858969
20-DEC-2010,Antonov An-2TP,RA-07637,20-DEC-2010,0,Uktus Airport,56.7000946,60.7858969
??-???-2010,Rockwell Sabreliner 75A,XA-TUD,??-???-2010,0,Nassau Inter...,40.7287387,-73.6075835
03-JAN-2011,Beech B200 King Air,C-GSAU,03-JAN-2011,0,Maple Creek ...,49.9059756,-109.479163
03-JAN-2011,Boeing 737-823 (WL),N831NN,03-JAN-2011,0,Los Angeles ...,34.0536909,-118.242766
05-JAN-2011,Boeing 737-8F2 (WL),TC-JGZ,05-JAN-2011,0,Istanbul Ata...,43.3359572,76.953537
06-JAN-2011,Learjet 35A,N800GP,06-JAN-2011,0,Springfield-...,39.7990175,-89.6439575
07-JAN-2011,Beech B200 Super King Air,F-GMPO,07-JAN-2011,0,"Montpellier,...",43.6112422,3.8767337
09-JAN-2011,Boeing 727-286,EP-IRP,09-JAN-2011,78,near Urmia (Orumi...,37.5360366,45.0661026
10-JAN-2011,Boeing 737-2T5,ZS-SGX,10-JAN-2011,0,Hoedspruit A...,-24.352964,30.951343
17-JAN-2011,DHC-3T Vazar Turbine Otter,C-GNNP,17-JAN-2011,0,Muncho Lake/...,58.9939483,-125.7770163
17-JAN-2011,Convair CV-340-71,N8277Q,17-JAN-2011,0,Saint Thomas...,49.4972,3.82019
20-JAN-2011,DHC-6 Twin Otter 300,FAE449,20-JAN-2011,6,El Capricho ...,40.4531726,-3.5943582
27-JAN-2011,Fokker F-27 Friendship 500CRF,5X-FFD,27-JAN-2011,0,Nairobi-Wils...,51.5300309,11.7802698
30-JAN-2011,Gulfstream G-IV,N127DK,30-JAN-2011,0,Papeete-Faaa...,-17.5488444,-149.5879533
04-FEB-2011,Raytheon Hawker 850XP,OD-SKY,04-FEB-2011,7,Sulaymaniyah...,35.5570501,45.4425963
09-FEB-2011,Beech 1900D,C-FWAX,09-FEB-2011,0,Kasabonika A...,53.522354,-88.6433378
10-FEB-2011,Swearingen SA227-BC Metro III,EC-ITP,10-FEB-2011,6,Cork Airport...,51.8417381,-8.4937985
14-FEB-2011,Let L-410UVP-E20,HR-AUQ,14-FEB-2011,14,El Espino,42.7274274,-3.0477741
14-FEB-2011,Let L-410UVP,9Q-CIF,14-FEB-2011,2,Mont Biega,-2.3752109,28.6898067
14-FEB-2011,Gulfstream GV-SP (G550),N535GA,14-FEB-2011,0,Appleton-Out...,53.0767308,-0.8066677
27-FEB-2011,Swearingen SA227-DC Metro 23,CP-2473,27-FEB-2011,0,La Paz-El Al...,35.6332816,-106.0451262
04-MAR-2011,DHC-8-106,TF-JMB,04-MAR-2011,0,Nuuk Airport...,64.1927724,-51.6778804
05-MAR-2011,Antonov An-148-100E,61708,05-MAR-2011,6,"Garbuzovo, B...",50.4666981,38.7522016
05-MAR-2011,Beech 200 Super King Air,YV196T,05-MAR-2011,0,Union Island...,12.5973427,-61.4334853
16-MAR-2011,Beech 200 Super King Air,N849BM,16-MAR-2011,5,Long Beach M...,50.7968438,0.3338414
17-MAR-2011,Yakovlev Yak-40,5A-DKG,17-MAR-2011,0,Benghazi-Ben...,32.1011324,20.2733279
17-MAR-2011,Yakovlev Yak-40KD,5A-DKM,17-MAR-2011,0,Benghazi-Ben...,32.1011324,20.2733279
17-MAR-2011,Boeing 737-2D6,5A-DKY,17-MAR-2011,0,Benghazi-Ben...,32.1011324,20.2733279
21-MAR-2011,Antonov An-12BP,TN-AGK,21-MAR-2011,9+ 14,near Pointe Noire...,-4.7975373,11.8503297
22-MAR-2011,Airbus A300F4-622R,N173UP,22-MAR-2011,0,Albuquerque ...,35.0841034,-106.6509851
28-MAR-2011,Cessna 550 Citation II,B-7026,28-MAR-2011,3,Manas County...,44.3813954,86.3171176
31-MAR-2011,DHC-3T Texas Turbine Otter,C-GMCW,31-MAR-2011,1,"near Mayo, YT",63.5926909,-135.8961421
04-APR-2011,Canadair CRJ-100ER,4L-GAE,04-APR-2011,32,Kinshasa-N'D...,-4.3217055,15.3125974
11-APR-2011,Antonov An-2TP,N122AN,11-APR-2011,0,"near Loxley, AL",30.6182476,-87.7530454
16-APR-2011,BN-2A-27 Islander,VP-MNI,16-APR-2011,0,Montserrat-J...,10.0716112,-84.48232
17-APR-2011,Boeing 777-F6N,B-2078,17-APR-2011,0,København-Ka...,55.6867243,12.5700724
25-APR-2011,Lockheed C-130E Hercules,62-1806,25-APR-2011,0,Jacksonville...,30.3321838,-81.655651
25-APR-2011,Lockheed C-130E Hercules,62-1851,25-APR-2011,0,Jacksonville...,30.3321838,-81.655651
10-MAY-2011,Fokker 50,OO-VLE,10-MAY-2011,0,Rotterdam/Th...,51.9228934,4.4631786
16-MAY-2011,Beech B200 Super King Air,N786SR,16-MAY-2011,0,"near Atqasuk, AK",70.4784723,-157.407991
17-MAY-2011,Antonov An-2R,RA-68122,17-MAY-2011,0,Sofiyivka Ip...,47.23333,22.65
18-MAY-2011,Saab 340A,LV-CEJ,18-MAY-2011,22,"near Prahuaniyeu, RN",-41.3377517,-67.9052019
18-MAY-2011,Boeing 707-321B,N707AR,18-MAY-2011,0,Port Hueneme...,34.1477558,-119.1951559
23-MAY-2011,Cessna 208B Grand Caravan,PT-OSG,23-MAY-2011,0,Barra do Ven...,45.3969801,11.8339454
01-JUN-2011,Eclipse 500,N168TT,01-JUN-2011,0,Nome Airport...,64.5124643,-165.4560374
08-JUN-2011,BN-2B-26 Islander,D-IOLO,08-JUN-2011,0,Helgoland Ai...,54.185641,7.9113393
09-JUN-2011,Cessna 208 Caravan I,C-GUYR,09-JUN-2011,0,Postville Ai...,43.084702,-91.5682015
12-JUN-2011,Douglas DC-6BF,N600UA,12-JUN-2011,0,Cold Bay Air...,55.2449658,-162.7591073
15-JUN-2011,Beech A100 King Air,N15L,15-JUN-2011,0,"near Gray, TN",36.402596,-82.4890065
15-JUN-2011,Cessna 525A CitationJet CJ2,N129SG,15-JUN-2011,0,Nashville-Jo...,36.1613554,-86.7999298
17-JUN-2011,Antonov An-2T,RF-00447,17-JUN-2011,0,Vladikavkaz ...,43.024593,44.68211
17-JUN-2011,Dassault Falcon 10,C-GRIS,17-JUN-2011,0,Toronto-Butt...,43.6655867,-79.3993065
20-JUN-2011,Tupolev Tu-134A-3,RA-65691,20-JUN-2011,47,near Petrozavodsk...,61.790039,34.390007
04-JUL-2011,Cessna 208B Grand Caravan,C-FMCB,04-JUL-2011,1,Pukatawagan ...,55.747985,-101.311798
08-JUL-2011,Boeing 727-22 (WL),9Q-COP,08-JUL-2011,77,Kisangani-Ba...,0.5184021,25.2057292
10-JUL-2011,BAe-125-700B,5N-BEX,10-JUL-2011,0,Benin City A...,6.3330586,5.6221058
11-JUL-2011,Antonov An-24RV,RA-47302,11-JUL-2011,7,near Strezhevoy,60.732758,77.600807
11-JUL-2011,DHC-6 Twin Otter 310,8Q-TMD,11-JUL-2011,0,Biyaadhoo Tr...,39.0,35.0
13-JUL-2011,Let L-410UVP-E20,PR-NOB,13-JUL-2011,16,near Recife-Guara...,-8.1868273,-34.9504481
14-JUL-2011,ATR 72-202,SP-LFH,14-JUL-2011,0,Warszawa-Fré...,52.2396369,21.0622882
14-JUL-2011,Boeing 767-332ER (WL),N185DN,14-JUL-2011,0,Boston-Logan...,42.3630236,-71.013408
14-JUL-2011,Canadair CRJ-900ER,N132EV,14-JUL-2011,0,Boston-Logan...,42.3630236,-71.013408
23-JUL-2011,Cessna 208 Caravan I,3009,23-JUL-2011,0,"Kei Mouth, E...",-32.6813889,28.3758333
27-JUL-2011,Antonov An-2R,RA-33046,27-JUL-2011,0,Bichevaya,47.77485,135.63098
28-JUL-2011,Boeing 747-48EF,HL7604,28-JUL-2011,2,"near Jeju, South ...",33.3939924,126.5626653
30-JUL-2011,Boeing 737-8BK (WL),9Y-PBM,30-JUL-2011,0,Georgetown-C...,51.4251421,-0.0881139
30-JUL-2011,Canadair CRJ-200ER,EC-ITU,30-JUL-2011,0,Barcelona Ai...,-1.935834,-80.6870986
02-AUG-2011,Cessna C-98A Grand Caravan (208B),2735,02-AUG-2011,8,near Bom Jardim d...,-22.7344696,-47.1879226
03-AUG-2011,Convair CV-580,C-GKFP,03-AUG-2011,0,Kasba Lake A...,60.3356996,-102.1106244
09-AUG-2011,Antonov An-12AP,RA-11125,09-AUG-2011,11,near Omsukchan,62.5127643,155.7823514
15-AUG-2011,Lockheed C-130 Hercules,,15-AUG-2011,0,near Afghanistan,34.531964,69.2022711
20-AUG-2011,Boeing 737-210C,C-GNWN,20-AUG-2011,12,near Resolute Air...,74.7156398,-94.9750861
20-AUG-2011,BN-2A-7 Islander,8R-GHD,20-AUG-2011,0,Port Kaituma...,7.7296284,-59.8852833
02-SEP-2011,Cessna 208B Grand Caravan,N207DR,02-SEP-2011,1,"near Nightmute, AK",60.4794444,-164.7238889
06-SEP-2011,Swearingen SA227-BC Metro III,CP-2548,06-SEP-2011,8,near Trinidad Air...,41.8609209,-87.6345192
07-SEP-2011,Yakovlev Yak-42D,RA-42434,07-SEP-2011,44,near Yaroslavl-Tu...,55.7768024,37.6573515
16-SEP-2011,Embraer ERJ-190,HC-CEZ,16-SEP-2011,0,Quito-Marisc...,-0.2512836,-78.538546
17-SEP-2011,Learjet 35,N535LC,17-SEP-2011,0,Valencia-Art...,39.4797148,-0.382696
20-SEP-2011,Beech 99A,HH-APA,20-SEP-2011,3,near Milot,19.6078961,-72.21479
22-SEP-2011,DHC-6 Twin Otter 300,C-GARW,22-SEP-2011,2,"Yellowknife, NT",62.4540807,-114.377385
23-SEP-2011,DHC-3T Texas Turbine Otter,N361TT,23-SEP-2011,1,near Heitman Lake...,43.50943,-86.29312
26-SEP-2011,DC-9-51,YV136T,26-SEP-2011,0,Puerto Ordaz...,8.27509,-62.7556955
02-OCT-2011,Fokker 50,ST-ASD,02-OCT-2011,0,Khartoum-Civ...,50.45466,30.5238
12-OCT-2011,Embraer EMB-120ER Brasilia,ZS-PYO,12-OCT-2011,0,Port Gentil ...,-0.7149116,8.7797434
14-OCT-2011,Tupolev Tu-134A-3,RA-65143,14-OCT-2011,0,near Novy Urengoy...,66.085196,76.6799167
18-OCT-2011,BN-2T Turbine Islander,RAN-49,18-OCT-2011,6,"Dhorpatan, B...",28.4902865,83.0672741
25-OCT-2011,Raytheon Beechjet 400A,HS-TPD,25-OCT-2011,0,Bangkok-Don ...,13.7087133,100.533485
25-OCT-2011,Beech B300 Super King Air 350,HS-SLA,25-OCT-2011,0,Bangkok-Don ...,13.7087133,100.533485
27-OCT-2011,Beech 100 King Air,C-GXRX,27-OCT-2011,2,near Vancouver In...,49.2608724,-123.1139529
31-OCT-2011,Gulfstream G150,N480JJ,31-OCT-2011,0,Key West Int...,66.03169,60.16594
01-NOV-2011,Boeing 767-35DER,SP-LPC,01-NOV-2011,0,Warszawa-Fré...,52.2396369,21.0622882
10-NOV-2011,Airbus A320-211,N331NW,10-NOV-2011,0,near Minneapolis-...,44.9772995,-93.2654692
21-NOV-2011,Cessna 208B Grand Caravan,9N-AJM,21-NOV-2011,0,Talcha Airport,29.5205648,82.1467134
30-NOV-2011,Beech 1900,FAB-043,30-NOV-2011,0,near La Paz-El Al...,35.6332816,-106.0451262
04-DEC-2011,Beech A100 King Air,9Q-CEM,04-DEC-2011,0,Pointe Noire...,-4.7485355,11.8523109
08-DEC-2011,Boeing 757-351 (WL),N583NW,08-DEC-2011,0,Atlanta Hart...,34.3569115,-82.945891
08-DEC-2011,Boeing 737-732 (WL),N303DQ,08-DEC-2011,0,Atlanta Hart...,34.3569115,-82.945891
12-DEC-2011,Antonov An-2,,12-DEC-2011,0,Mingoro Village,3.097398,30.819365
17-DEC-2011,Cessna 208 Caravan I,N275PM,17-DEC-2011,0,Mesquite Air...,42.8764599,-106.4388674
18-DEC-2011,PZL-Mielec C-145A (M28-05) Skytruck,08-0319,18-DEC-2011,0,Walan Rabat ...,32.62088,67.41938
20-DEC-2011,Boeing 737-36M,PK-CKM,20-DEC-2011,0,Yogyakarta-A...,-7.9778384,110.3672257
28-DEC-2011,Tupolev Tu-134A-3,EX-020,28-DEC-2011,0,Osh Airport ...,40.6082735,72.7827822
09-JAN-2012,Xian MA60,FAB-96,09-JAN-2012,0,Guayaramerin...,-10.818915,-65.3550455
12-JAN-2012,Let L-410UVP-E9,5Y-BSA,12-JAN-2012,0,Kichwa Tembo...,-1.2632849,35.0283233
24-JAN-2012,DC-9-83 (MD-83),EC-JJS,24-JAN-2012,0,Kandahar Air...,31.5124803,65.8643602
24-JAN-2012,Canadair CRJ-200ER,N8524A,24-JAN-2012,0,Providence-T...,41.8443525,-71.4628864
30-JAN-2012,Antonov An-28,9Q-CUN,30-JAN-2012,3,near Namoya,-4.0458404,27.5368974
09-FEB-2012,DHC-6 Twin Otter 200,8Q-MAT,09-FEB-2012,0,Male Interna...,-24.092003,-54.283157
12-FEB-2012,Airbus A320-232,PR-MAR,12-FEB-2012,0,Porto Alegre...,-30.0324999,-51.2303767
13-FEB-2012,Learjet 55,N75LJ,13-FEB-2012,0,Brooksville-...,28.5552719,-82.3878709
14-FEB-2012,Airbus A319-111,G-EZFV,14-FEB-2012,0,London-Luton...,51.8781404,-0.3664573
21-FEB-2012,Lockheed CC-130H(T) Hercules,130342,21-FEB-2012,0,Key West NAS...,25.05823,-77.34306
08-MAR-2012,BAe 3102 Jetstream 31,G-CCPW,08-MAR-2012,0,Isle Of Man-...,54.1936805,-4.5591148
09-MAR-2012,DHC-6 Twin Otter 300,FAP-317,09-MAR-2012,0,Laguna Cabal...,4.7799769,-75.4894099
09-MAR-2012,Beech 100 King Air,N70JL,09-MAR-2012,0,Deadman's Ca...,54.1870072,-100.3073544
13-MAR-2012,Boeing 737-732 (WL),N309DE,13-MAR-2012,0,Atlanta Hart...,34.3569115,-82.945891
15-MAR-2012,Cessna 501 Citation I/SP,N7700T,15-MAR-2012,5,Franklin-Mac...,40.0514754,-82.9151382
16-MAR-2012,CASA CN-235M-100,AEE-503,16-MAR-2012,0,Quito-Marisc...,-0.2512836,-78.538546
17-MAR-2012,Beech 1900C,C-GCMZ,17-MAR-2012,0,Blue River A...,43.1878709,-90.567457
22-MAR-2012,Beech B300 Super King Air 350,CC-AEB,22-MAR-2012,8,near Puerto Aguirre,-45.1641639,-73.522341
22-MAR-2012,Douglas C-54G (DC-4),N406WA,22-MAR-2012,0,San Juan-Lui...,43.1753807,0.0185209
29-MAR-2012,Fokker 50,ST-NEX,29-MAR-2012,0,Wau Airport ...,7.7259985,27.97417
31-MAR-2012,Boeing 777-246ER,JA701J,31-MAR-2012,0,Tokyo Haneda...,35.5479444,139.7466458
14-APR-2012,Boeing 737-33A (QC),G-ZAPZ,14-APR-2012,0,Chambéry Air...,45.5757046,5.739407
15-APR-2012,Canadair CRJ-200ER,N684BR,15-APR-2012,0,Moline-Quad-...,41.5139196,-90.492917
21-APR-2012,Curtiss C-46F,CP-1319,21-APR-2012,3,Santa Cruz-V...,-48.5693327,-70.1606767
23-APR-2012,Antonov An-2R,YR-BOR,23-APR-2012,0,Dârvari,44.9201797,26.1555103
27-APR-2012,Boeing 727-212,XB-MNP,27-APR-2012,0,Laguna Salada,19.6694063,-71.1011715
01-MAY-2012,Airbus A300B4-605R,TC-OAG,01-MAY-2012,0,Jeddah-King ...,21.5217543,39.1825517
02-MAY-2012,Cessna 208B Grand Caravan,5Y-NGO,02-MAY-2012,0,Yambio Airport,4.5672308,28.4232272
09-MAY-2012,Sukhoi Superjet 100-95B,97004,09-MAY-2012,45,near Jakarta,-6.1753942,106.827183
11-MAY-2012,Convair CV-580F SCD,N171FL,11-MAY-2012,0,Guatemala Ci...,38.9124471,-77.049573
23-MAY-2012,Antonov An-30B,04 Black,23-MAY-2012,0,Cáslav Air Base,49.9415517,15.3844544
24-MAY-2012,Canadair CC-144A Challenger 600,144601,24-MAY-2012,0,near Tampa-Mac Di...,28.0586744,-82.419168
25-MAY-2012,Cessna 208B Super Cargomaster,D-FAAF,25-MAY-2012,0,Lézignan-Cor...,-31.4135,-64.18105
01-JUN-2012,Boeing 737-4Y0,PK-CJV,01-JUN-2012,0,Pontianak-Su...,-0.0226903,109.3447488
02-JUN-2012,Boeing 727-221F,5N-BJN,02-JUN-2012,0+ 10,Accra-Kotoka...,5.6042894,-0.1679676
03-JUN-2012,Lockheed P-2H Neptune,N14447,03-JUN-2012,2,"near Modena, Iron...",37.7988558,-113.9241411
03-JUN-2012,Lockheed SP-2H Neptune,N355MA,03-JUN-2012,0,Minden-Tahoe...,39.0030701,-119.7517019
06-JUN-2012,Swearingen SA227-AC Metro III,CX-LAS,06-JUN-2012,2,near Isla de Flor...,-34.5859106,-58.407256
07-JUN-2012,Learjet 60,N500SW,07-JUN-2012,0,Aspen-Pitkin...,39.1911128,-106.8235606
09-JUN-2012,ATR 42-500,OK-KFM,09-JUN-2012,0,Praha-Ruzyne...,50.0841721,14.3121812
10-JUN-2012,Let L-410UVP,UR-SKD,10-JUN-2012,5,Borodyanka,50.64484,29.9201
10-JUN-2012,DHC-8-311,V2-LGH,10-JUN-2012,0,Antigua-Cool...,14.5579837,-90.7352093
12-JUN-2012,Hawker Siddeley HS-748,C-FTTW,12-JUN-2012,0,Sandy Lake A...,41.3486674,-80.0822822
16-JUN-2012,ATR 42-320,G-DRFC,16-JUN-2012,0,Jersey-State...,39.0848464,-90.3303344
18-JUN-2012,Beech Beechjet 400A,N826JH,18-JUN-2012,0,Atlanta-DeKa...,23.7104,90.40744
20-JUN-2012,Boeing 767-381ER,JA610A,20-JUN-2012,0,Tokyo-Narita...,35.7118141,139.7930076
21-JUN-2012,Fokker F-27 Friendship 400M,A-2708,21-JUN-2012,7+ 4,near Jakarta-Hali...,-6.2471309,106.7893864
01-JUL-2012,Lockheed C-130H Hercules,93-1458,01-JUL-2012,4,"near Edgemont, SD",43.301084,-103.825476
04-JUL-2012,Rockwell Sabreliner 75A,AE-175,04-JUL-2012,0,El Palomar A...,33.127414,-117.2801728
12-JUL-2012,Harbin Yunshuji Y-12 II,5T-MAE,12-JUL-2012,7,near Nouakchott A...,18.3005588,-15.9618852
13-JUL-2012,Gulfstream G-IV,N823GA,13-JUL-2012,3,Le Castellet...,43.9383814,5.9789367
15-JUL-2012,DC-9-83 (MD-83),N110HM,15-JUL-2012,0,Dallas/Fort ...,32.7453157,-97.3278313
17-JUL-2012,Canadair CRJ-200ER,N865AS,17-JUL-2012,1,Saint George...,38.53672,-90.3148334
18-JUL-2012,Boeing 737-230,CC-CRQ,18-JUL-2012,0,La Serena-La...,-29.902631,-71.2520253
19-JUL-2012,Antonov An-2R,RA-40934,19-JUL-2012,0,"Elban, Amur ...",50.0991794,136.5131529
28-JUL-2012,Beech B200 Super King Air,OO-LET,28-JUL-2012,0,Cambridge Ai...,41.8990768,-93.5294029
28-JUL-2012,Beech B200 King Air,PR-DOC,28-JUL-2012,8,Juiz de Fora...,-21.7609533,-43.3501129
02-AUG-2012,Cessna 500 Citation I,EC-IBA,02-AUG-2012,2,near Santiago de ...,49.9986351,8.2680686
06-AUG-2012,Embraer Phenom 300,CN-MBR,06-AUG-2012,0,St. Gallen-A...,47.4250593,9.3765878
10-AUG-2012,Bombardier DHC-8-402Q Dash 8,N341NG,10-AUG-2012,0,Washington-D...,47.3979139,-122.3294327
10-AUG-2012,Airbus A330-343X,D-AIKE,10-AUG-2012,0,Washington-D...,47.3979139,-122.3294327
16-AUG-2012,Saab 2000 AEW&C,10049,16-AUG-2012,0,Kamra-Minhas...,33.8703022,72.4004921
19-AUG-2012,Antonov An-26-100,ST-ARL,19-AUG-2012,32,near Talodi,10.6326436,30.3793795
09-SEP-2012,Antonov An-2P,SP-FMA,09-SEP-2012,0,Bydgoszcz Ai...,53.1219648,18.0002529
12-SEP-2012,Antonov An-28,RA-28715,12-SEP-2012,10,near Palana Airport,59.0826153,159.8884458
15-SEP-2012,Learjet 24D,D-CMMM,15-SEP-2012,0,near Bornholm-Røn...,52.3093606,4.671301
20-SEP-2012,Airbus A320-232,YK-AKF,20-SEP-2012,0,near Duma,33.5696629,36.4012933
22-SEP-2012,Gulfstream G-V,N511QS,22-SEP-2012,0+ 1,San Francisc...,-20.0992289,-45.296651
22-SEP-2012,Hawker Beech 390 Premier IA,VT-UPN,22-SEP-2012,0,Delhi-Indira...,28.5548974,77.0846746
04-OCT-2012,Boeing 717-2BD,N894AT,04-OCT-2012,0,Milwaukee-Ge...,64.5291874,40.561903
07-OCT-2012,Antonov An-12BP,ST-ARV,07-OCT-2012,15,"near Omdurman, Kh...",15.6445536,32.4777311
07-OCT-2012,BN-2A-26 Islander,VP-MON,07-OCT-2012,3,Antigua-V.C....,18.3728368,-66.0424985
10-OCT-2012,Embraer Phenom 100,PR-PNM,10-OCT-2012,0,Porto Alegre...,-30.0324999,-51.2303767
13-OCT-2012,MD-11F,N988AR,13-OCT-2012,0,São Paulo/Ca...,-23.5503898,-46.633081
16-OCT-2012,Bombardier CRJ-701ER,F-GRZE,16-OCT-2012,0,Lorient-Lann...,47.6341925,-3.1316145
25-OCT-2012,Cessna 208B Grand Caravan,5N-BMJ,25-OCT-2012,0,near Yola Airport...,9.2564272,12.4311463
30-OCT-2012,Cessna 560 Citation V,C-FBCW,30-OCT-2012,0,Edmonton Int...,66.03169,60.16594
06-NOV-2012,Cessna 208B Super Cargomaster,N793FE,06-NOV-2012,1,near Wichita-Mid-...,50.9747778,-0.1155702
09-NOV-2012,Curtiss C-46A,C-GTXW,09-NOV-2012,0,Yellowknife ...,62.4540807,-114.377385
11-NOV-2012,Cessna 525B CitationJet CJ3,PR-MRG,11-NOV-2012,0,São Paulo-Co...,6.1856456,-75.5797974
13-NOV-2012,Swearingen SA226-TC Metro II,EC-JYC,13-NOV-2012,0,Murcia-San J...,37.6130578,-0.9899691
13-NOV-2012,MD-82,ZS-TOG,13-NOV-2012,0,Johannesburg...,-26.205,28.049722
15-NOV-2012,Fokker 50,5Y-CAN,15-NOV-2012,0,Aweil Airport,8.7938928,27.367967
16-NOV-2012,Airbus A300B4-203F,EI-EAC,16-NOV-2012,0,Bratislava-M...,48.2296853,17.2706072
17-NOV-2012,Cessna 550 Citation II,N6763L,17-NOV-2012,0,Greenwood Co...,37.8709542,-96.2471338
21-NOV-2012,Antonov An-26,420,21-NOV-2012,10,near Sana'a Inter...,15.2880718,44.2128825
21-NOV-2012,Antonov An-26B-100,RA-26061,21-NOV-2012,0,Deputatskiy ...,54.8408485,61.1269918
25-NOV-2012,Antonov An-2R,RA-33589,25-NOV-2012,1,Yugorsk-2 Ai...,47.30919,9.40295
30-NOV-2012,Ilyushin Il-76T,EK-76300,30-NOV-2012,7+ 25,near Brazzaville-...,-4.2694407,15.2712256
05-DEC-2012,AMI C-47TP (DC-3T),6840,05-DEC-2012,11,Giant's Cast...,48.15712,-4.13889
05-DEC-2012,Canadair CRJ-200LR,N411ZW,05-DEC-2012,0,near New York-La ...,53.5674522,-2.4741216
09-DEC-2012,Learjet 25,N345MC,09-DEC-2012,7,near Iturbide,25.7300364,-100.3260279
11-DEC-2012,Lockheed HC-130P Hercules,65-0981,11-DEC-2012,,within Afghanistan,30.5767421,62.0882626
17-DEC-2012,Antonov An-26-100,OB-1887-P,17-DEC-2012,4,Tomas Distri...,45.1135466,13.7209832
17-DEC-2012,Learjet 24,,17-DEC-2012,0,Hyderabad-Be...,25.3801017,68.3750376
20-DEC-2012,Basler Turbo 67 (DC-3T),C-GEAI,20-DEC-2012,0,Holtanna Gla...,51.5,-0.16667
22-DEC-2012,Swearingen SA227-AC Metro III,C-GFWX,22-DEC-2012,1,Sanikiluaq A...,56.5421614,-79.2259227
25-DEC-2012,Fokker 100,XY-AGC,25-DEC-2012,1+ 1,near Heho Airport...,20.7526325,96.7921744
31-DEC-2012,BAe 3101 Jetstream 31,HR-AWG,31-DEC-2012,0,San Pedro Su...,9.3966301,-75.0335463
02-JAN-2013,Saab 340A,LV-BMD,02-JAN-2013,0,Mendoza-El P...,14.685311,121.028099
04-JAN-2013,BN-2A-27 Islander,YV2615,04-JAN-2013,6,between Los ...,33.8176114,-83.8074003
08-JAN-2013,Let L-410UVP-E9,CP-2382,08-JAN-2013,0,Santa Cruz-E...,28.469648,-16.2540884
17-JAN-2013,CASA C-212 Aviocar 300,8020,17-JAN-2013,0,Bloemspruit ...,-29.1203563,26.2411104
23-JAN-2013,DHC-6 Twin Otter 300,C-GKBC,23-JAN-2013,3,Mount Elizabeth,48.7957226,-118.6728058
25-JAN-2013,MD-11F,N618FE,25-JAN-2013,0,Denver Inter...,52.4765095,13.4200277
07-FEB-2013,Antonov An-2R,UR-54853,07-FEB-2013,0,"Knyazhin, Zh...",47.41667,8.66667
09-FEB-2013,Beech 1900C,C-FPCO,09-FEB-2013,0,Blue River A...,43.1878709,-90.567457
11-FEB-2013,Boeing 737-33A,AP-BEH,11-FEB-2013,0,Muscat-Seeb ...,23.6821956,58.1843842
11-FEB-2013,MD-83,LV-AYD,11-FEB-2013,0,Salta-Martín...,-24.7808428,-65.413079
15-FEB-2013,Embraer Phenom 100,OO-MAS,15-FEB-2013,0,Berlin-Schön...,52.5487962,13.4593803
28-FEB-2013,Let L-410UVP-E9,LZ-CCJ,28-FEB-2013,0,Wau Airport ...,7.7259985,27.97417
